,Headlines,Date_Time,URL,Description,Content,Compound Sentiment,Positive Sentiment,Neutral Sentiment,Negative Sentiment
10,Regulating crypto: the $2T Rubik's Cube,2021-09-24T09:01:59Z,https://www.politico.com/news/2021/09/24/regulating-crypto-trillion-rubiks-cube-513981,"This episode of Playbook Deep Dive goes down the rabbit hole of crypto trading, Bitcoin, Ethereum, Dogecoin — you get the idea. Digital currency has never been a hotter topic on Capitol Hill.","Securities and Exchange Commission Chair Gary Gensler testifies before a Senate Banking, Housing, and Urban Affairs Committee hearing on Sept. 14, 2021. | Bill Clark/Pool via AP
By POLITICO STAFF
0… [+2459 chars]",0.0,0.0,1.0,0.0
11,"Why Bitcoin, Ethereum, Dogecoin, and Other Cryptocurrencies Plunged Today",2021-09-24T20:18:00Z,https://www.fool.com/investing/2021/09/24/why-bitcoin-ethereum-dogecoin-and-other-cryptocurr/,Regulatory risks are rising for investors.,"What happened
Cryptocurrencies fell on Friday after China furthered its crackdown on the industry. Here's how some of the most popular cryptoassets were performing as of 3:30 p.m. EDT:
So what
Ear… [+1684 chars]",-0.2732,0.0,0.704,0.296
12,"Why Bitcoin, Ethereum, and Dogecoin All Fell This Week",2021-09-24T17:07:53Z,https://www.fool.com/investing/2021/09/24/why-bitcoin-ethereum-and-dogecoin-all-fell-this-we/,"Just when you thought cryptocurrencies would recover from an earlier sell-off, regulatory risks are mounting once again.","What happened
Bitcoin (CRYPTO:BTC), Ethereum (CRYPTO:ETH), and Dogecoin (CRYPTO:DOGE) are down 11.69%, 17.41%, and 14.65% in the past seven days. They are now trading at $41,814.38, $2,856.90, and $… [+3308 chars]",-0.2732,0.0,0.884,0.116
13,You Won't Regret Buying These 3 Bargain Cryptos,2021-09-24T10:30:00Z,https://www.fool.com/investing/2021/09/24/you-wont-regret-buying-these-3-bargain-cryptos/,Cryptocurrencies don't often come cheap. But here are three that have solid fundamental value that can make investors money.,"The first few weeks of September were brutal for cryptocurrencies, with major indexes tumbling by as much as a quarter amid concerns that a regulatory crackdown was coming. Those worries are easing, … [+4080 chars]",0.6124,0.227,0.773,0.0
14,"China name-checks Bitcoin, Ethereum, TEDA in blanket crypto ban",2021-09-24T17:09:01Z,https://www.slashgear.com/china-name-checks-bitcoin-ethereum-teda-in-blanket-crypto-ban-24692346/,"The People’s Bank of China just released a note that effectively outlawed cryptocurrency in China. This note was issued to “the people’s governments of all provinces, autonomous regions, and municipalities under the Central Government, and Xinjiang Production…","The People’s Bank of China just released a note that effectively outlawed cryptocurrency in China. This note was issued to “the people’s governments of all provinces, autonomous regions, and municipa… [+2391 chars]",0.4404,0.077,0.923,0.0
15,Gary Vaynerchuk and Gallerist Vito Schnabel Partner up to Launch ArtOfficial,2021-09-24T18:32:07Z,https://hypebeast.com/2021/9/gary-vaynerchuk-and-gallerist-vito-schnabel-partner-up-to-launch-artofficial,"The crypto world was hit hard today after China's most powerful regulators made it illegal to use all forms of cryptocurrencies for transactions. Subsequently, the price of bitcoin plummeted by more than $2,000. However, there are many within the community wh…","The crypto world was hit hard today after China’s most powerful regulators made it illegal to use all forms of cryptocurrencies for transactions. Subsequently, the price of bitcoin plummeted by more … [+1665 chars]",-0.228,0.067,0.824,0.108
16,"Bitcoin, Ethereum, XRP tumble on China crackdown - Fox Business",2021-09-24T16:03:38Z,https://www.foxbusiness.com/markets/crypto-market-tumbles-on-china-crackdown,Bitcoin and other cryptos are crumbling as China flexes its muscle against digital currencies once again.,"A crackdown from the Chinese government has sent the entire cryptocurrency market tumbling.
Bitcoin, the world's largest cryptocurrency, dropped nearly 6% on the move to around $41,700 per coin, whi… [+2576 chars]",0.0,0.0,1.0,0.0
17,China Bans Crypto Mining: Chinese Crypto Traders at Loss,2021-09-24T13:58:14Z,https://startuptoenterprise.com/china-bans-crypto-mining-chinese-crypto-traders-at-loss/,"As China bans crypto, the NDRC has undertaken a nationwide cleaning of cryptocurrency mining as it adds no value to China's economic growth!","On Friday, September 24, 2021, China’s most powerful regulators went a step further by issuing a blanket ban on all cryptocurrency transactions and crypto mining, hurting bitcoin and other big coins,… [+4725 chars]",0.4753,0.2,0.717,0.083
18,Why Avalanche Is Crushing the Crypto Market,2021-09-24T20:05:00Z,https://www.fool.com/investing/2021/09/24/why-avalanche-is-crushing-the-crypto-market/,"Avalanche's crypto token is now up more than 2,500% year to date.","What happened
It's been a rough week of trading for most top cryptocurrencies, but Avalanche's (CRYPTO:AVAX) AVAX token is bucking the trends and posting strong gains. As of 3 p.m. Friday, EDT, the … [+1990 chars]",0.0,0.0,1.0,0.0
19,China deems all cryptocurrency transactions illegal,2021-09-24T11:12:16Z,https://www.axios.com/china-cryptocurrency-transaction-mining-ban-cc9db4ff-3df3-44b4-bcfa-48909f6b75d2.html,"China's central bank declared on Friday that all cryptocurrencies are illegal, banning crypto-related transactions and cryptocurrency mining, according to Reuters.Why it matters: China's government is now following through with its goal of cracking down on vi…","China's central bank declared on Friday that all cryptocurrencies are illegal, banning crypto-related transactions and cryptocurrency mining, according to Reuters.
Why it matters: China's government… [+628 chars]",-0.5423,0.028,0.879,0.093
